Province,Year,Quarter,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio
Nova Scotia,2023,2,0.13908870952446753,0.24578118381022065
Nova Scotia,2023,3,0.1442820812426971,0.2550625233296006
Ontario,2021,1,0.1410101874276087,0.21559782070876443
Ontario,2021,2,0.14171664472799025,0.2188700259582188
Ontario,2021,3,0.14211113770613382,0.2141505252359624
Ontario,2021,4,0.13856705255613883,0.20484604783882357
Ontario,2022,1,0.1400205144535184,0.20242777522022623
Ontario,2022,2,0.15237457162687046,0.22232555384008612
Ontario,2022,3,0.158184187579818,0.2359699932822633
Ontario,2022,4,0.15886208431134705,0.2414962915253353
Ontario,2023,1,0.15502766718112393,0.23560083592285588
Ontario,2023,2,0.15523537995696013,0.23449820582102954
Ontario,2023,3,0.15868729494994616,0.23985321482946634
Prince Edward Island,2021,1,0.13620984533016062,0.2121126892607697
Prince Edward Island,2021,2,0.13665079738609417,0.21541836128501576
Prince Edward Island,2021,3,0.13745125841900036,0.21052404199248284
Prince Edward Island,2021,4,0.13700539195354625,0.2064072327044025
Prince Edward Island,2022,1,0.1394603347708984,0.20427876089499303
Prince Edward Island,2022,2,0.15123263888888888,0.22415860580382124
Prince Edward Island,2022,3,0.15660828585496236,0.2379331811579166
Prince Edward Island,2022,4,0.15822740848787942,0.24534927469587392
Prince Edward Island,2023,1,0.1561952861952862,0.2418379685610641
Prince Edward Island,2023,2,0.1573130519792547,0.24205504297768315
Prince Edward Island,2023,3,0.16344201500176195,0.2519308862170555
Quebec,2021,1,0.13018471622036534,0.2568151203321807
Quebec,2021,2,0.1309163717105713,0.2598510324395678
Quebec,2021,3,0.13052344845290179,0.2514532799363514
Quebec,2021,4,0.12561606846811593,0.23721787746282014
Quebec,2022,1,0.12617387631433521,0.23194701917912647
Quebec,2022,2,0.13555714905193694,0.2521774344468749
Quebec,2022,3,0.13979423590850026,0.26783356454677654
Quebec,2022,4,0.1386708608780293,0.2725087160561731
Quebec,2023,1,0.13427467308705937,0.2643476194644889
Quebec,2023,2,0.13370336790686022,0.2619344527323121
Quebec,2023,3,0.13816052450477403,0.2709820455773867
Saskatchewan,2021,1,0.14892816677996829,0.329378052545338
Saskatchewan,2021,2,0.1470106099683841,0.3293736082122268
Saskatchewan,2021,3,0.14429329440609492,0.3131948051948052
Saskatchewan,2021,4,0.13795467257686694,0.2936541782311118
Saskatchewan,2022,1,0.1376953640148294,0.28433540440079225
Saskatchewan,2022,2,0.1463224618435497,0.3070672372608592
Saskatchewan,2022,3,0.1475681349695723,0.31951129211403184
Saskatchewan,2022,4,0.1449423770408591,0.32319409149885225
Saskatchewan,2023,1,0.13942017335909576,0.31125214664376916
Saskatchewan,2023,2,0.1383001089428719,0.3070475463499846
Saskatchewan,2023,3,0.14144260287675486,0.3135049670355896
